"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"6/28/2020, Eastern Time",
US48,"6/29/2020, Eastern Time",491415
US48,"6/29/2020, Eastern Time",
US48,"6/30/2020, Eastern Time",462231
US48,"6/30/2020, Eastern Time",
US48,"7/1/2020, Eastern Time",466835
US48,"7/1/2020, Eastern Time",
US48,"7/2/2020, Eastern Time",504550
US48,"7/2/2020, Eastern Time",
US48,"7/3/2020, Eastern Time",506370
US48,"7/3/2020, Eastern Time",
US48,"7/4/2020, Eastern Time",460584
US48,"7/4/2020, Eastern Time",
US48,"7/5/2020, Eastern Time",481033
US48,"7/5/2020, Eastern Time",
US48,"7/6/2020, Eastern Time",534612
US48,"7/6/2020, Eastern Time",
US48,"7/7/2020, Eastern Time",518063
US48,"7/7/2020, Eastern Time",
US48,"7/8/2020, Eastern Time",546111
US48,"7/8/2020, Eastern Time",
US48,"7/9/2020, Eastern Time",568242
US48,"7/9/2020, Eastern Time",
US48,"7/10/2020, Eastern Time",538624
US48,"7/10/2020, Eastern Time",
US48,"7/11/2020, Eastern Time",505563
US48,"7/11/2020, Eastern Time",
US48,"7/12/2020, Eastern Time",490645
US48,"7/12/2020, Eastern Time",
US48,"7/13/2020, Eastern Time",522728
US48,"7/13/2020, Eastern Time",
US48,"7/14/2020, Eastern Time",507747
US48,"7/14/2020, Eastern Time",
US48,"7/15/2020, Eastern Time",500716
US48,"7/15/2020, Eastern Time",
US48,"7/16/2020, Eastern Time",477647
US48,"7/16/2020, Eastern Time",
US48,"7/17/2020, Eastern Time",487883
US48,"7/17/2020, Eastern Time",
US48,"7/18/2020, Eastern Time",510991
US48,"7/18/2020, Eastern Time",
US48,"7/19/2020, Eastern Time",547632
US48,"7/19/2020, Eastern Time",
US48,"7/20/2020, Eastern Time",607949
US48,"7/20/2020, Eastern Time",
US48,"7/21/2020, Eastern Time",569133
US48,"7/21/2020, Eastern Time",
US48,"7/22/2020, Eastern Time",573146
US48,"7/22/2020, Eastern Time",
US48,"7/23/2020, Eastern Time",563358
US48,"7/23/2020, Eastern Time",
US48,"7/24/2020, Eastern Time",524058
US48,"7/24/2020, Eastern Time",
US48,"7/25/2020, Eastern Time",515492
US48,"7/25/2020, Eastern Time",
US48,"7/26/2020, Eastern Time",542869
US48,"7/26/2020, Eastern Time",
US48,"7/27/2020, Eastern Time",606105
US48,"7/27/2020, Eastern Time",
US48,"7/28/2020, Eastern Time",610363
US48,"7/28/2020, Eastern Time",
US48,"7/29/2020, Eastern Time",569606
US48,"7/29/2020, Eastern Time",
US48,"7/30/2020, Eastern Time",564827
US48,"7/30/2020, Eastern Time",
US48,"7/31/2020, Eastern Time",515962
US48,"7/31/2020, Eastern Time",
US48,"8/1/2020, Eastern Time",502101
US48,"8/1/2020, Eastern Time",
US48,"8/2/2020, Eastern Time",532933
US48,"8/2/2020, Eastern Time",
US48,"8/3/2020, Eastern Time",564260
US48,"8/3/2020, Eastern Time",
US48,"8/4/2020, Eastern Time",490292
US48,"8/4/2020, Eastern Time",
US48,"8/5/2020, Eastern Time",476606
US48,"8/5/2020, Eastern Time",
US48,"8/6/2020, Eastern Time",459526
US48,"8/6/2020, Eastern Time",
US48,"8/7/2020, Eastern Time",458152
US48,"8/7/2020, Eastern Time",
US48,"8/8/2020, Eastern Time",459416
US48,"8/8/2020, Eastern Time",
US48,"8/9/2020, Eastern Time",485315
US48,"8/9/2020, Eastern Time",
US48,"8/10/2020, Eastern Time",577610
US48,"8/10/2020, Eastern Time",
US48,"8/11/2020, Eastern Time",586464
US48,"8/11/2020, Eastern Time",
US48,"8/12/2020, Eastern Time",569205
US48,"8/12/2020, Eastern Time",
US48,"8/13/2020, Eastern Time",526121
US48,"8/13/2020, Eastern Time",
US48,"8/14/2020, Eastern Time",524632
US48,"8/14/2020, Eastern Time",
US48,"8/15/2020, Eastern Time",466205
US48,"8/15/2020, Eastern Time",
US48,"8/16/2020, Eastern Time",420784
US48,"8/16/2020, Eastern Time",
US48,"8/17/2020, Eastern Time",452051
US48,"8/17/2020, Eastern Time",
US48,"8/18/2020, Eastern Time",459762
US48,"8/18/2020, Eastern Time",
US48,"8/19/2020, Eastern Time",437148
US48,"8/19/2020, Eastern Time",
US48,"8/20/2020, Eastern Time",430165
US48,"8/20/2020, Eastern Time",
US48,"8/21/2020, Eastern Time",469932
US48,"8/21/2020, Eastern Time",
US48,"8/22/2020, Eastern Time",488545
US48,"8/22/2020, Eastern Time",
US48,"8/23/2020, Eastern Time",494350
US48,"8/23/2020, Eastern Time",
US48,"8/24/2020, Eastern Time",560478
US48,"8/24/2020, Eastern Time",
US48,"8/25/2020, Eastern Time",544676
US48,"8/25/2020, Eastern Time",
US48,"8/26/2020, Eastern Time",445425
US48,"8/26/2020, Eastern Time",
US48,"8/27/2020, Eastern Time",492221
US48,"8/27/2020, Eastern Time",
US48,"8/28/2020, Eastern Time",488871
US48,"8/28/2020, Eastern Time",
US48,"8/29/2020, Eastern Time",467998
US48,"8/29/2020, Eastern Time",
US48,"8/30/2020, Eastern Time",406151
US48,"8/30/2020, Eastern Time",
US48,"8/31/2020, Eastern Time",419440
US48,"8/31/2020, Eastern Time",
US48,"9/1/2020, Eastern Time",450704
US48,"9/1/2020, Eastern Time",
US48,"9/2/2020, Eastern Time",479008
US48,"9/2/2020, Eastern Time",
US48,"9/3/2020, Eastern Time",488441
US48,"9/3/2020, Eastern Time",
US48,"9/4/2020, Eastern Time",474323
US48,"9/4/2020, Eastern Time",
US48,"9/5/2020, Eastern Time",397321
US48,"9/5/2020, Eastern Time",
US48,"9/6/2020, Eastern Time",395508
US48,"9/6/2020, Eastern Time",
US48,"9/7/2020, Eastern Time",416752
US48,"9/7/2020, Eastern Time",
US48,"9/8/2020, Eastern Time",472367
US48,"9/8/2020, Eastern Time",
US48,"9/9/2020, Eastern Time",479793
US48,"9/9/2020, Eastern Time",
US48,"9/10/2020, Eastern Time",498260
US48,"9/10/2020, Eastern Time",
US48,"9/11/2020, Eastern Time",442151
US48,"9/11/2020, Eastern Time",
US48,"9/12/2020, Eastern Time",368403
US48,"9/12/2020, Eastern Time",
US48,"9/13/2020, Eastern Time",381824
US48,"9/13/2020, Eastern Time",
US48,"9/14/2020, Eastern Time",409808
US48,"9/14/2020, Eastern Time",
US48,"9/15/2020, Eastern Time",368274
US48,"9/15/2020, Eastern Time",
US48,"9/16/2020, Eastern Time",374388
US48,"9/16/2020, Eastern Time",
US48,"9/17/2020, Eastern Time",396564
US48,"9/17/2020, Eastern Time",
US48,"9/18/2020, Eastern Time",377325
US48,"9/18/2020, Eastern Time",
US48,"9/19/2020, Eastern Time",330142
US48,"9/19/2020, Eastern Time",
US48,"9/20/2020, Eastern Time",326551
US48,"9/20/2020, Eastern Time",
US48,"9/21/2020, Eastern Time",359453
US48,"9/21/2020, Eastern Time",
US48,"9/22/2020, Eastern Time",362793
US48,"9/22/2020, Eastern Time",
US48,"9/23/2020, Eastern Time",378242
US48,"9/23/2020, Eastern Time",
US48,"9/24/2020, Eastern Time",388222
US48,"9/24/2020, Eastern Time",
US48,"9/25/2020, Eastern Time",395374
US48,"9/25/2020, Eastern Time",
US48,"9/26/2020, Eastern Time",374133
US48,"9/26/2020, Eastern Time",
US48,"9/27/2020, Eastern Time",394631
US48,"9/27/2020, Eastern Time",
US48,"9/28/2020, Eastern Time",435307
US48,"9/28/2020, Eastern Time",
US48,"9/29/2020, Eastern Time",422852
US48,"9/29/2020, Eastern Time",
US48,"9/30/2020, Eastern Time",390493
US48,"9/30/2020, Eastern Time",
US48,"10/1/2020, Eastern Time",377009
US48,"10/1/2020, Eastern Time",
US48,"10/2/2020, Eastern Time",369260
US48,"10/2/2020, Eastern Time",
US48,"10/3/2020, Eastern Time",338230
US48,"10/3/2020, Eastern Time",
US48,"10/4/2020, Eastern Time",337140
US48,"10/4/2020, Eastern Time",
US48,"10/5/2020, Eastern Time",369120
US48,"10/5/2020, Eastern Time",
US48,"10/6/2020, Eastern Time",369584
US48,"10/6/2020, Eastern Time",
US48,"10/7/2020, Eastern Time",373802
US48,"10/7/2020, Eastern Time",
US48,"10/8/2020, Eastern Time",360432
US48,"10/8/2020, Eastern Time",
US48,"10/9/2020, Eastern Time",360226
US48,"10/9/2020, Eastern Time",
US48,"10/10/2020, Eastern Time",346165
US48,"10/10/2020, Eastern Time",
US48,"10/11/2020, Eastern Time",337765
US48,"10/11/2020, Eastern Time",
US48,"10/12/2020, Eastern Time",366810
US48,"10/12/2020, Eastern Time",
US48,"10/13/2020, Eastern Time",372711
US48,"10/13/2020, Eastern Time",
US48,"10/14/2020, Eastern Time",364062
US48,"10/14/2020, Eastern Time",
US48,"10/15/2020, Eastern Time",371138
US48,"10/15/2020, Eastern Time",
US48,"10/16/2020, Eastern Time",376725
US48,"10/16/2020, Eastern Time",
US48,"10/17/2020, Eastern Time",341083
US48,"10/17/2020, Eastern Time",
US48,"10/18/2020, Eastern Time",340508
US48,"10/18/2020, Eastern Time",
US48,"10/19/2020, Eastern Time",371610
US48,"10/19/2020, Eastern Time",
US48,"10/20/2020, Eastern Time",378932
US48,"10/20/2020, Eastern Time",
US48,"10/21/2020, Eastern Time",380997
US48,"10/21/2020, Eastern Time",
US48,"10/22/2020, Eastern Time",384146
