Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"9/6/2018, Eastern Time",
US48,"9/7/2018, Eastern Time",507379
US48,"9/7/2018, Eastern Time",
US48,"9/8/2018, Eastern Time",406816
US48,"9/8/2018, Eastern Time",
US48,"9/9/2018, Eastern Time",366302
US48,"9/9/2018, Eastern Time",
US48,"9/10/2018, Eastern Time",401310
US48,"9/10/2018, Eastern Time",
US48,"9/11/2018, Eastern Time",425407
US48,"9/11/2018, Eastern Time",
US48,"9/12/2018, Eastern Time",466626
US48,"9/12/2018, Eastern Time",
US48,"9/13/2018, Eastern Time",478022
US48,"9/13/2018, Eastern Time",
US48,"9/14/2018, Eastern Time",478632
US48,"9/14/2018, Eastern Time",
US48,"9/15/2018, Eastern Time",458547
US48,"9/15/2018, Eastern Time",
US48,"9/16/2018, Eastern Time",470914
US48,"9/16/2018, Eastern Time",
US48,"9/17/2018, Eastern Time",499978
US48,"9/17/2018, Eastern Time",
US48,"9/18/2018, Eastern Time",511590
US48,"9/18/2018, Eastern Time",
US48,"9/19/2018, Eastern Time",478001
US48,"9/19/2018, Eastern Time",
US48,"9/20/2018, Eastern Time",440511
US48,"9/20/2018, Eastern Time",
US48,"9/21/2018, Eastern Time",453464
US48,"9/21/2018, Eastern Time",
US48,"9/22/2018, Eastern Time",396161
US48,"9/22/2018, Eastern Time",
US48,"9/23/2018, Eastern Time",365388
US48,"9/23/2018, Eastern Time",
US48,"9/24/2018, Eastern Time",395062
US48,"9/24/2018, Eastern Time",
US48,"9/25/2018, Eastern Time",415046
US48,"9/25/2018, Eastern Time",
US48,"9/26/2018, Eastern Time",463797
US48,"9/26/2018, Eastern Time",
US48,"9/27/2018, Eastern Time",414876
US48,"9/27/2018, Eastern Time",
US48,"9/28/2018, Eastern Time",396408
US48,"9/28/2018, Eastern Time",
US48,"9/29/2018, Eastern Time",361403
US48,"9/29/2018, Eastern Time",
US48,"9/30/2018, Eastern Time",355549
US48,"9/30/2018, Eastern Time",
US48,"10/1/2018, Eastern Time",411740
US48,"10/1/2018, Eastern Time",
US48,"10/2/2018, Eastern Time",433142
US48,"10/2/2018, Eastern Time",
US48,"10/3/2018, Eastern Time",424239
US48,"10/3/2018, Eastern Time",
US48,"10/4/2018, Eastern Time",428816
US48,"10/4/2018, Eastern Time",
US48,"10/5/2018, Eastern Time",399853
US48,"10/5/2018, Eastern Time",
US48,"10/6/2018, Eastern Time",375585
US48,"10/6/2018, Eastern Time",
US48,"10/7/2018, Eastern Time",391998
US48,"10/7/2018, Eastern Time",
